CNSX Trading Daily Market Summary August 30 2012 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
Minerva Minerals Limited                	MIL     	   0.050	   0.080	            0.120	           0.030
Magna Resources Ltd.                    	MNA     	   0.150	   0.300	            0.750	           0.150
Copper Gold Resources Inc.              	MOG     	   0.060	   0.070	            0.250	           0.005
Micromem Technologies Inc.              	MRM     	   0.200	   0.240	            0.470	           0.065
Golden Moor Inc.                        	MUD     	        	   0.045	            0.060	           0.050
Mantis Mineral Corp.                    	MYN     	   0.005	   0.010	            0.030	           0.005
Northern Lights Resources Corp.         	NLE     	   0.010	   0.070	            0.090	           0.030
Newlook Industries Corp.                	NLI     	        	        	            0.175	           0.005
NEMI Northern Energy & Mining Inc.      	NNE     	   0.850	   0.900	            1.080	           0.840
Nass Valley Gateway Ltd.                	NVG     	   0.040	   0.090	            0.085	           0.010
Portex Minerals Inc.                    	PAX     	   0.060	   0.110	            0.250	           0.040
Premier Diagnostic Health Services Inc. 	PDH     	   0.020	   0.150	            0.200	           0.010
Park Lawn Company Limited               	PRL     	   3.100	   3.900	            3.000	           2.250
Pasinex Resources Limited               	PSE     	   0.060	   0.075	            0.160	           0.040
Pacific Therapeutics Ltd                	PT      	   0.150	   0.170	            0.250	           0.070
PetroWorth Resources Inc.               	PTW     	   0.010	   0.020	            0.130	           0.005
Pivotal Therapeutics Inc.               	PVO     	   0.195	   0.200	            0.480	           0.150
Quantitative Alpha Trading Inc.         	QAT     	   0.010	   0.020	            0.145	           0.015
Quinsam Capital Corporation             	QCA     	   0.040	   0.070	            0.050	           0.005
QSOLAR Limited                          	QSL     	   0.150	   0.200	            0.400	           0.100
Mag Copper Limited                      	QUE     	   0.030	   0.050	            0.300	           0.030
Renforth Resources Inc.                 	RFR     	   0.040	   0.060	            0.060	           0.005
Range Energy Resources Inc.             	RGO     	   0.050	   0.060	            0.150	           0.030
Portage Minerals Inc.                   	RKX     	   0.020	   0.030	            0.080	           0.015
West Red Lake Gold Mines Inc.           	RLG     	   0.070	   0.150	            0.140	           0.100
